	Gene_ID	H_0	H_4	H_8	H_12	H0PA	H4PA	H8PA	H12PA	U_0	U_4	U_8	U_12	U0PA	U4PA	U8PA	U12PA	M_0	M_4	M_8	M_12	M0PA	M4PA	M8PA	M12PA	H4/H0_P_Value	H8/H0_pvalue	H12/H0_pvalue	U4/U0_pvalue	U8/U0_pvalue	U12/U0_pvalue	M4/M0_pvalue	M8/M0_pvalue	M12/M0_pvalue
AADACL1	NM_020792	5.178044977	5.528554961	5.070374921	4.938669388	P	P	P	P	9.146505862	8.892923955	8.814356893	8.300855447	P	P	P	P	11.20682425	10.89015599	10.90170115	10.75650439	P	P	P	P	0.3773	0.9999	0.6141	0.5744	0.2420	0.0034	0.1134	0.0774	0.0095
AADACL2	NM_207365	2.616209389	2.627063864	2.620813772	2.604988907	A	A	A	A	2.612133596	2.622642058	2.593933085	2.657178626	A	A	A	A	2.636927604	2.641301007	2.636803037	2.641993888	A	A	A	A	0.9186	0.9999	0.9390	0.9996	0.8244	0.1586	1.0000	1.0000	1.0000
AADAT	NM_016228	5.13233563	5.057290329	5.042292814	4.989353319	P	P	A	P	7.023817307	7.116362439	7.02124375	6.991444995	A	A	A	A	4.883650275	4.726688927	4.736365	4.72118968	A	A	A	A	0.8197	0.6995	0.3094	0.2407	0.9783	0.4998	0.6232	0.5198	0.3625
AAK1	NM_014911	2.552628595	2.557765973	2.555303729	2.554377872	A	A	P	P	2.55494395	2.56040996	2.554202377	2.583272382	P	P	P	P	2.528068537	2.528396199	2.522165671	2.524848745	P	P	P	A	0.9243	0.9999	1.0000	0.9996	0.9795	0.0973	1.0000	1.0000	1.0000
AAMP	NM_001087	9.276575467	9.430631724	9.338637084	9.226166196	P	P	P	P	8.956554611	8.721766047	8.753691496	8.656407001	P	P	P	P	8.97221629	8.917402929	8.871455789	8.824555314	P	P	P	P	0.3921	0.9999	0.9633	0.2696	0.2533	0.0535	1.0000	0.7770	0.3865
AANAT	NM_001088	2.268323191	2.274209062	2.268426618	2.267665448	A	A	A	A	2.089791598	2.092127178	2.085931628	2.101885831	A	A	A	A	2.019417853	2.017927661	2.015206325	2.016453407	A	A	A	A	0.9208	0.9999	1.0000	0.9996	0.8961	0.4282	1.0000	1.0000	1.0000
AARS	NM_001605	10.08266871	9.96809003	9.758904683	10.32980839	P	P	P	P	10.34363187	10.3082195	10.2664593	10.57217022	P	P	P	P	10.04646003	10.07694701	9.982512565	10.19126627	P	P	P	P	0.5826	0.0164	0.0620	0.9996	0.7273	0.0508	1.0000	1.0000	0.4151
AARS2	NM_020745	6.325158783	6.141091978	6.013655738	5.869613254	A	A	A	A	2.872140871	2.867992701	2.820400863	2.863656886	A	A	A	A	6.101673937	6.08297486	6.074076515	6.114606137	A	A	A	A	0.5374	0.1386	0.0223	0.9996	0.3309	0.8156	1.0000	0.9805	1.0000
AARSD1	NM_025267	4.015240878	4.181125254	3.830139475	4.240880354	A	A	A	P	3.443046179	3.255725632	3.583167072	3.46278964	P	A	P	A	4.48000531	4.310565098	4.18590396	4.223954333	A	A	A	A	0.8594	0.8223	0.6329	0.8304	0.8296	0.9263	0.8533	0.2549	0.2912
AASDH	NM_181806	6.173196693	5.965685204	6.294524761	6.51217321	P	P	P	P	6.728837585	6.731176382	6.845475007	7.001074664	P	P	P	P	7.425142307	7.470577226	7.406378501	7.457071869	P	P	P	P	0.3395	0.7337	0.0520	0.9996	0.5528	0.0484	0.6516	1.0000	0.6691
AASDHPPT	NM_015423	8.867246826	8.88523436	8.883068949	8.677849677	P	P	P	P	7.876047234	7.701618172	7.620402961	7.063226241	P	P	P	P	10.88587054	10.8601286	10.64998511	10.57583352	P	P	P	P	0.9773	0.9999	0.1638	0.1236	0.0120	0.0000	1.0000	0.0132	0.0021
AASS	NM_005763	6.491104914	6.914028529	6.624535953	6.296924818	P	P	P	P	2.671617942	2.682513892	2.685965898	2.707612278	A	A	A	A	3.122019862	3.148687151	3.35407529	3.626055579	P	P	P	P	0.3796	0.9999	0.8479	0.9996	0.8671	0.2802	1.0000	0.2260	0.0071
AATF	NM_012138	8.556563829	8.625408019	8.524578798	8.522142129	P	P	P	P	9.186196216	9.09528648	8.97679003	8.762363339	P	P	P	P	10.37835192	10.29302216	10.25283476	10.1740733	P	P	P	P	0.8619	0.9999	1.0000	0.5443	0.0287	0.0003	0.8563	0.3849	0.0719
AATK	NM_001080395	6.072355691	6.084054018	6.041157876	5.870708546	P	A	A	A	3.00453785	3.063300778	3.168197732	3.28822293	A	A	A	A	2.97600992	2.891445078	2.85177175	2.886813475	A	A	A	A	0.9996	0.9999	0.9226	0.9996	0.3177	0.0426	0.9829	0.5272	0.6894
ABAT	NM_000663	9.761552989	9.454261564	9.164704427	8.86503681	P	P	P	P	3.647536216	3.616820218	3.409740904	3.463553622	P	P	P	P	2.854478101	2.859108891	2.857562526	2.879701281	A	A	A	A	0.0072	0.0000	0.0000	0.9996	0.0605	0.1029	1.0000	1.0000	1.0000
ABBA-1	NM_138383	8.30272428	8.375651937	8.155301817	7.949374406	P	P	P	P	3.810840323	3.856589595	3.884639943	4.019992866	A	A	A	A	4.617837222	4.575252515	4.591064049	4.548885402	A	A	A	A	0.9214	0.7323	0.1003	0.9996	0.6611	0.0402	1.0000	1.0000	0.4670
ABCA1	NM_005502	9.641944245	9.401015109	9.679671466	9.264972472	P	P	P	P	10.59553876	10.90761233	11.13186704	11.11685786	P	P	P	P	9.346128206	9.203869574	9.77976143	9.534376159	P	P	P	P	0.2187	0.9999	0.0264	0.0434	0.0010	0.0007	0.5631	0.0062	0.1636
ABCA12	NM_015657	2.515424879	2.526276722	2.517788577	2.503733712	A	A	A	A	2.498896512	2.508621828	2.486870448	2.541979277	A	A	A	A	2.500505	2.506055139	2.499699185	2.50128914	A	A	A	A	0.9151	0.9999	0.9190	0.9996	0.8680	0.1501	1.0000	1.0000	1.0000
ABCA13	NM_152701	2.70380988	2.726809348	2.714905512	2.681010173	A	A	A	A	2.703643476	2.717631438	2.689431167	2.778363362	A	A	P	A	2.746296443	2.745815703	2.736669212	2.756740926	A	A	A	A	0.8502	0.9999	0.8105	0.9996	0.8656	0.0375	1.0000	1.0000	1.0000
ABCA2	NM_001606	3.057466258	3.061135614	3.163557037	3.130934482	A	A	P	P	5.944716459	5.983092184	6.139127586	6.2323356	P	P	P	P	7.600751723	7.658857184	7.85553681	7.735802558	P	P	P	P	0.9996	0.4147	0.6638	0.9996	0.1583	0.0261	1.0000	0.0291	0.2222
ABCA3	NM_001089	2.390766697	2.400524218	2.394426133	2.383831513	A	A	A	A	2.487112062	2.443628048	2.454462511	2.449524858	A	A	A	A	3.904923417	3.901857402	3.892024528	3.92492343	A	A	A	A	0.9116	0.9999	0.9993	0.6767	0.7263	0.3723	1.0000	1.0000	1.0000
ABCA4	NM_000350	1.922127503	1.923361984	1.921379463	1.923731158	A	A	A	A	2.070744942	2.079883834	2.097622245	2.093036325	A	A	A	A	1.767409624	1.769497283	1.768344685	1.765530712	A	A	A	A	0.9905	0.9999	1.0000	0.9996	0.6324	0.4460	1.0000	1.0000	1.0000
ABCA5	NM_018672	2.970260224	2.991722955	2.976991209	3.002100288	A	A	P	P	2.961806469	2.97028236	2.947769009	3.023770863	A	A	A	A	3.067295779	3.073697093	3.068054817	3.135575224	P	A	P	A	0.9876	0.9999	1.0000	0.9996	0.8651	0.0707	1.0000	1.0000	0.4734
ABCA6	NM_080284	2.61746313	2.625495211	2.622330164	2.605021639	A	A	A	A	2.622169754	2.622168193	2.600130216	2.649163433	A	A	A	A	2.618461688	2.635102387	2.62825319	2.625042317	A	A	A	A	0.9232	0.9999	0.8574	1.0000	0.6217	0.2900	1.0000	1.0000	1.0000
ABCA7	NM_019112	4.600773168	4.773478901	6.346814757	7.162360846	P	P	P	P	2.07321445	2.075635478	2.070283499	2.092167042	P	P	P	P	5.552614651	6.743947055	7.243379583	7.737605426	P	P	P	P	0.9410	0.0182	0.0011	0.9996	0.9209	0.2677	0.0384	0.0034	0.0005
ABCA8	NM_007168	2.433919337	2.440857944	2.438162834	2.422879803	A	A	A	A	2.4272675	2.436479405	2.411630298	2.462297241	A	A	A	A	2.402963836	2.407696591	2.40998488	2.406968589	A	A	A	A	0.9293	0.9999	0.9088	0.9996	0.8382	0.2125	1.0000	1.0000	1.0000
ABCA9	NM_080283	2.822553096	2.824681627	2.811870985	2.800503087	A	A	A	A	2.728570631	2.73578617	2.712122477	2.775473388	A	A	A	A	2.716921977	2.736881123	2.721092207	2.756238475	A	A	A	A	0.9954	0.9999	0.5560	0.9996	0.8422	0.1333	1.0000	1.0000	0.8971
ABCB1	NM_000927	7.491832721	7.739097708	7.810256742	7.943101536	P	P	P	P	2.220047082	2.223261125	2.21140908	2.240405371	A	A	A	A	2.18526391	2.190296505	2.18345486	2.190041785	A	A	A	A	0.0451	0.0082	0.0005	0.9996	0.8646	0.2876	1.0000	1.0000	1.0000
ABCB10	NM_012089	9.454048713	9.14733441	8.946779016	8.844933348	P	P	P	P	7.748532471	7.790414505	7.882030567	7.471400305	P	P	P	P	9.692583432	9.618366402	9.611461635	9.463485675	P	P	P	P	0.1420	0.0093	0.0023	0.9996	0.8627	0.3298	1.0000	0.8635	0.0843
ABCB11	NM_003742	2.123061454	2.126715357	2.125152487	2.122639187	A	A	A	A	2.032844795	2.03515169	2.026576886	2.050983632	A	A	A	A	2.062502301	2.069182601	2.064116248	2.066324301	A	A	A	A	0.9436	0.9999	1.0000	0.9996	0.8784	0.3052	1.0000	1.0000	1.0000
ABCB4	NM_000443	6.46861853	6.017108114	5.759079653	5.976610713	P	P	P	P	2.09601554	2.096611662	2.087880505	2.111336658	A	A	A	A	2.044606481	2.05116719	2.043416871	2.046252478	A	A	A	A	0.2471	0.0358	0.1574	0.9996	0.8631	0.3687	1.0000	1.0000	1.0000
ABCB5	NM_178559	1.984765666	1.990014719	1.986462084	1.984938693	A	A	A	A	1.931459893	1.935297076	1.926227516	1.945296382	A	A	A	A	1.86145488	1.865943823	1.860240746	1.862783824	A	A	A	A	0.9208	0.9999	1.0000	0.9996	0.8839	0.3748	1.0000	1.0000	1.0000
ABCB6	NM_005689	8.488982852	8.132278788	8.121917826	8.381170856	P	P	P	P	5.673927949	6.098401002	6.581054247	7.275041955	A	P	P	P	5.703963222	5.790244401	5.945609332	5.838184454	A	A	A	A	0.0573	0.0399	0.7622	0.0049	0.0000	0.0000	1.0000	0.1162	0.4281
ABCB7	NM_004299	5.953686944	6.180216666	6.17977898	6.333791547	P	P	P	P	4.80735902	4.871830163	4.815677145	4.95198356	P	P	P	P	6.99601991	6.831319798	6.898924767	6.657340854	P	P	P	P	0.2791	0.2504	0.0296	0.9594	0.9617	0.1736	0.9924	1.0000	0.2156
ABCB8	NM_007188	2.284694387	2.281099715	2.28208315	2.28537629	A	A	A	A	3.390200324	3.390106648	3.377386676	3.400418596	P	P	P	P	2.260865084	2.264299913	2.256444738	2.25573857	A	A	A	A	0.9252	0.9999	1.0000	0.9997	0.6611	0.4776	1.0000	1.0000	1.0000
ABCB9	NM_019624	3.666856462	3.666658369	3.653014915	3.645923923	A	A	A	A	3.366175603	3.408806501	3.550206858	3.577716486	A	A	A	A	4.6318323	4.617971101	4.64226877	4.755832187	A	A	A	A	0.9998	0.9999	1.0000	0.9996	0.1766	0.0804	1.0000	1.0000	0.3446
ABCC1	NM_004996	8.335901495	8.727868053	9.707619965	9.626586733	P	P	P	P	7.9607802	8.277624137	8.429827339	8.480670251	P	P	P	P	9.334802499	9.344011181	9.337505915	9.319437603	P	P	P	P	0.0068	0.0000	0.0000	0.0077	0.0003	0.0001	1.0000	1.0000	1.0000
ABCC10	NM_033450	6.257899741	5.816796596	6.033896989	5.94822486	P	P	P	P	2.90065565	2.758496515	2.762211643	2.773545751	P	P	P	P	6.616009182	6.46469716	6.540477602	6.355859744	P	P	P	P	0.0423	0.3713	0.1442	0.2132	0.1418	0.1244	1.0000	1.0000	0.3940
ABCC11	NM_032583	2.233718168	2.24172614	2.234870819	2.232648844	A	A	A	A	2.185593932	2.189842747	2.178787716	2.206771171	A	A	A	A	2.148174468	2.153235596	2.151587392	2.151576998	A	A	A	A	0.9089	0.9999	1.0000	0.9996	0.8774	0.2707	1.0000	1.0000	1.0000
ABCC12	NM_033226	2.050509544	2.055469046	2.05277377	2.049075432	A	A	A	A	1.988104697	1.990485225	1.98147948	2.002683573	A	A	A	A	1.924578952	1.928883478	1.924658235	1.924805762	A	A	A	A	0.9243	0.9999	1.0000	0.9996	0.8731	0.3622	1.0000	1.0000	1.0000
ABCC2	NM_000392	10.35832966	10.62097787	11.40357464	11.57342062	P	P	P	P	2.643820307	2.643303757	2.62726727	2.651987838	A	A	A	A	2.284621492	2.294465321	2.287688163	2.289824143	A	A	A	A	0.0237	0.0000	0.0000	0.9996	0.6203	0.6362	1.0000	1.0000	1.0000
ABCC3	NM_003786	5.965772962	5.847816198	5.915554402	6.440302666	P	A	P	P	4.905971137	4.929737776	4.893461272	4.929961839	P	P	P	P	7.887920335	7.837281465	8.005651938	7.950416008	P	P	P	P	0.6242	0.9999	0.0018	0.6941	0.8523	0.3230	1.0000	0.5353	0.9110
ABCC4	NM_005845	4.868570909	4.158676497	4.024548261	4.14018499	P	P	P	P	7.249621219	7.353194489	7.154573881	6.371108367	P	P	P	P	5.637121286	5.546713289	5.681259118	5.650532656	P	P	P	P	0.0034	0.0006	0.0016	0.6753	0.5857	0.0000	0.9996	1.0000	1.0000
ABCC5	NM_005688	3.603555875	4.094208933	3.418603517	3.207080593	P	P	P	P	2.707733074	2.700614629	2.479054396	2.549490978	P	P	P	P	3.310733794	3.770969837	3.397656341	3.197997348	A	P	P	A	0.2875	0.9715	0.3925	0.9996	0.3808	0.3798	0.0526	1.0000	0.7997
ABCC6	NM_001171	6.972609975	6.370602142	5.6717172	5.516499951	P	P	A	A	2.049961686	2.051231586	2.042227237	2.064676451	A	A	A	A	2.068795992	2.073917028	2.068148109	2.072534734	A	A	A	A	0.0017	0.0000	0.0000	0.9996	0.8671	0.3826	1.0000	1.0000	1.0000
ABCC8	NM_000352	2.007944128	2.010436416	2.006746207	2.008040508	A	A	A	A	1.940594296	1.942615787	1.934859519	1.950021841	A	A	A	A	1.869985828	1.875249242	1.869677567	1.872909958	A	A	A	A	0.9611	0.9999	1.0000	0.9996	0.8779	0.5198	1.0000	1.0000	1.0000
ABCC9	NM_005691	2.418415099	2.426181236	2.418301245	2.409660801	A	A	A	A	2.720977628	2.717192347	2.70960839	2.703668808	P	P	P	P	2.384544791	2.389405258	2.384073888	2.385735765	A	A	A	A	0.9138	0.9999	0.8912	0.9996	0.8745	0.5268	1.0000	1.0000	1.0000
ABCD1	NM_000033	7.725199126	7.973330173	7.586071565	7.86693596	P	P	P	P	5.458683291	5.578480263	5.590786491	5.834248926	P	P	P	P	7.792464338	7.785109666	7.726925974	7.658391813	P	P	P	P	0.5141	0.9175	0.8268	0.9996	0.8244	0.1132	1.0000	1.0000	0.4522
ABCD2	NM_005164	2.584970124	2.5963749	2.601493184	2.566007202	A	A	A	A	2.394743073	2.411532296	2.395809129	2.440637584	A	A	A	A	2.396478426	2.396390378	2.399211252	2.404542942	A	A	A	A	0.9208	0.9318	0.7779	0.9744	0.9830	0.1158	1.0000	1.0000	1.0000
ABCD3	NM_002858	10.31455909	9.473832481	9.471844067	9.359047456	P	P	P	P	7.745461431	7.890968647	7.79659421	7.548689821	P	P	P	P	8.810446085	8.783320224	8.72403734	8.490696086	P	P	P	P	0.0000	0.0000	0.0000	0.3464	0.8485	0.0637	1.0000	1.0000	0.3122
ABCD4	NM_005050	3.656682486	3.653714354	3.655774287	3.660290762	P	P	P	P	3.21736069	3.221859457	3.21463136	3.226125386	A	P	P	A	4.457186339	4.473609811	4.4590927	4.454993776	P	P	P	P	0.9426	0.9999	1.0000	0.9996	0.9207	0.5395	1.0000	1.0000	1.0000
ABCE1	NM_002940	9.309007075	8.782084541	8.869431697	8.812376012	P	P	P	P	9.044484149	8.761787776	7.963325721	7.159440521	P	P	P	P	10.76375804	10.57344522	10.44444946	10.32535876	P	P	P	P	0.0034	0.0080	0.0029	0.1220	0.0000	0.0000	0.3143	0.0296	0.0042
ABCF1	NM_001090	10.03354511	10.23791494	9.919631587	9.483117187	P	P	P	P	8.254972956	8.363282018	8.237907444	8.066627577	P	P	P	P	11.02139207	11.09223354	10.98446862	10.78306389	P	P	P	P	0.0808	0.4081	0.0001	0.6681	0.9278	0.1082	1.0000	1.0000	0.0412
ABCF2	NM_005692	5.605878227	5.588429273	5.588289687	5.564429969	P	P	P	P	4.883639319	4.873859256	4.83802446	4.749450314	P	P	P	P	5.44508362	5.457362806	5.394870022	5.36599275	P	P	P	P	0.9345	0.9999	0.7562	0.9996	0.8040	0.0851	1.0000	0.9271	0.4756
ABCF3	NM_018358	4.837508095	4.742109954	4.166584244	4.223922425	P	P	P	P	6.881445374	6.845365487	7.096482667	7.101966048	P	P	P	P	7.498045296	7.441535657	7.442877728	7.314640447	P	P	P	P	0.9126	0.0046	0.0074	0.9996	0.0625	0.0394	1.0000	1.0000	0.2008
ABCG1	NM_004915	2.412156213	2.421191561	2.413400645	2.400128675	A	A	A	A	2.291637994	2.301717919	2.282793141	2.329037193	P	P	A	P	3.268143659	3.39375304	3.266102178	3.22813708	P	P	P	P	0.9138	0.9999	0.8194	0.9996	0.8594	0.0689	0.7722	1.0000	1.0000
ABCG2	NM_004827	7.4870474	6.919861164	7.718223242	8.378204905	P	P	P	P	5.369349319	5.159169645	5.64530087	5.327313898	P	P	P	P	2.462077787	2.520586348	2.556322098	2.742702759	A	A	P	A	0.0073	0.3062	0.0001	0.6475	0.3012	0.8208	1.0000	1.0000	0.3233
ABCG4	NM_022169	2.480061807	2.489108599	2.480578789	2.473700075	A	A	A	A	2.262392473	2.271035876	2.256805459	2.29261428	A	A	A	A	2.477176482	2.44422531	2.461679585	2.475824226	A	A	A	A	0.8815	0.9999	0.9640	0.9996	0.8872	0.1436	0.9275	1.0000	1.0000
ABCG5	NM_022436	7.87888436	7.010278072	7.21135945	7.96231145	P	P	P	P	2.434533631	2.449158675	2.425107285	2.48225745	A	A	A	A	2.542192012	2.54708682	2.538004351	2.558879031	A	A	A	A	0.0006	0.0028	0.9389	0.9996	0.8798	0.1132	1.0000	1.0000	1.0000
ABCG8	NM_022437	4.842250883	4.139209152	3.739929684	3.374973851	P	A	A	A	2.048532968	2.051833482	2.041503913	2.073592877	A	A	A	A	2.649302316	2.651994016	2.651104425	2.652173872	A	A	A	A	0.0089	0.0002	0.0000	0.9996	0.8855	0.2876	1.0000	1.0000	1.0000
ABHD1	NM_032604	2.156023263	2.15755416	2.156753093	2.152234377	A	A	A	A	2.016974027	2.020120397	2.010058741	2.033247736	A	A	A	A	2.058117739	2.059406631	2.054640146	2.05740514	A	A	A	A	0.9884	0.9999	1.0000	0.9996	0.8731	0.3341	1.0000	1.0000	1.0000
ABHD10	NM_018394	8.163800677	8.032931731	7.672053483	7.612435507	P	P	P	P	8.244369266	8.018007593	7.72072658	7.478796809	P	P	P	P	8.445705704	8.645041159	8.552061043	8.393000302	P	P	P	P	0.6370	0.0040	0.0015	0.0001	0.0000	0.0000	0.2586	0.6397	1.0000
ABHD11	NM_148912	2.57511201	2.474696024	2.466954931	2.465364509	A	A	A	A	4.844442143	4.630327728	4.516101461	4.42759413	P	P	P	P	3.484781129	3.323727059	3.312479388	3.326390563	P	P	P	A	0.3467	0.2629	0.2391	0.1055	0.0073	0.0011	0.4319	0.2530	0.2515
ABHD12	NM_015600	7.729433776	7.366970718	7.166000997	7.114996267	P	P	P	P	8.359680736	8.340713369	8.394322935	8.497046918	P	P	P	P	9.049798897	9.077460308	9.114722429	9.047986783	P	P	P	P	0.0044	0.0001	0.0000	0.9996	0.8130	0.0303	1.0000	1.0000	1.0000
ABHD12B	NM_181533	2.985795539	3.039521482	3.024506611	2.946514004	A	A	A	A	2.973354513	2.988757687	2.952027764	3.071518658	A	A	A	A	3.064400619	3.075691203	3.068591276	3.096008219	A	A	A	A	0.8888	0.9999	0.9605	0.9996	0.8656	0.0652	1.0000	1.0000	1.0000
ABHD13	NM_032859	3.339993107	3.34091247	3.331884621	3.286872749	P	A	A	P	3.80926329	3.68981443	3.644097507	3.728985092	P	P	P	P	3.267113129	3.183983485	3.191234944	3.148522491	P	P	P	A	0.9996	0.9999	0.6792	0.3617	0.0898	0.3122	0.8206	0.7396	0.3050
ABHD14A	NM_015407	6.69141992	6.287124747	6.087725416	6.322324453	P	P	P	P	5.329036669	5.329477537	5.644990911	5.706878982	P	P	P	P	8.024664036	8.180585964	8.248025091	8.153761089	P	P	P	P	0.2611	0.0514	0.2778	1.0000	0.4843	0.2276	1.0000	0.6489	0.9466
ABHD14B	NM_032750	9.124279538	8.684154876	8.825843061	9.204954157	P	P	P	P	8.90852186	8.886833841	8.91324777	9.209605001	P	P	P	P	9.914771908	9.953526554	9.957869961	10.03532351	P	P	P	P	0.0040	0.0316	0.7822	0.9996	0.9816	0.0210	1.0000	0.8479	0.0810
ABHD2	NM_007011	5.099454753	4.989445278	4.999244636	5.049726589	P	P	P	P	8.541405675	8.484043225	7.855098189	7.135359426	P	P	P	P	5.251092559	4.978629896	4.955009462	4.925224183	P	P	P	P	0.0782	0.0948	0.5382	0.9625	0.0001	0.0000	0.2613	0.1295	0.0705
ABHD3	NM_138340	8.761898172	8.692302811	8.703722582	8.702076325	P	P	P	P	7.286836364	7.168863311	7.033662164	6.653221613	P	P	P	P	8.487209197	8.658524667	8.622013744	8.524326525	P	P	P	P	0.9090	0.9999	0.9474	0.6691	0.0776	0.0004	0.7751	0.8097	1.0000
ABHD4	NM_022060	7.828988442	7.511445125	7.353629787	7.730973277	P	P	P	P	4.143961757	4.159111139	4.199953398	4.16987289	P	P	P	P	7.697444025	7.899779456	7.979386655	8.205444253	P	P	P	P	0.2085	0.0336	0.9069	0.9996	0.7257	0.7040	0.6886	0.2578	0.0229
ABHD5	NM_016006	2.698526167	2.649165208	2.679735708	2.693261401	A	A	A	A	7.994301099	7.928915102	7.64429293	7.288523002	P	P	P	P	7.202780971	7.520713102	7.631485171	7.850893758	P	P	P	P	0.9214	0.9999	1.0000	0.9996	0.0779	0.0015	0.4449	0.1337	0.0181
ABHD6	NM_020676	4.269804739	4.247928891	4.479766062	4.925913477	P	P	P	P	6.976307935	6.777945641	6.019286605	5.566831167	P	P	P	P	2.93012871	3.20154513	2.930887647	2.82031777	P	P	P	P	0.9820	0.3449	0.0011	0.1492	0.0000	0.0000	0.5206	1.0000	0.9583
ABHD7	NM_173567	2.602272654	2.605896345	2.608686092	2.583496653	A	A	A	A	2.598997609	2.61191374	2.592896412	2.639891331	A	A	A	A	7.249357931	7.192797303	7.145185554	7.107470739	P	P	P	P	0.9850	0.9999	0.7962	0.9996	0.9014	0.1655	1.0000	1.0000	0.6648
ABHD8	NM_024527	3.337615957	3.34288629	3.329425262	3.329997846	A	A	A	A	6.177668891	6.215611851	6.198769832	6.287979274	P	P	P	A	4.953273957	4.955064635	5.103575772	4.933313368	A	A	A	A	0.9315	0.9999	0.9442	0.9824	0.8796	0.1030	1.0000	0.3677	1.0000
ABHD9	NM_024794	2.036378499	2.03656744	2.03458429	2.033346977	A	A	A	A	1.971867009	1.973911538	1.966873841	1.982419387	A	A	A	A	1.907784118	1.91101931	1.906803646	1.908980926	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.8839	0.4669	1.0000	1.0000	1.0000
ABI1	NM_005470	7.358535476	7.424117955	7.883895072	7.91325197	P	P	P	P	9.239288906	9.097903545	9.101417249	9.10375672	P	P	P	P	9.981159414	10.02116359	10.0928021	10.15878982	P	P	P	P	0.9260	0.0185	0.0119	0.1801	0.1157	0.0858	1.0000	0.4574	0.1091
ABI2	NM_005759	8.309228194	8.32831348	8.541492768	8.568511333	P	P	P	P	9.334419282	9.382569146	9.386068721	9.358183896	P	P	P	P	8.92227198	8.884115561	8.924304778	8.903769241	P	P	P	P	0.9382	0.0043	0.0016	0.4080	0.2322	0.4529	0.7238	1.0000	0.9782
